[1.e+08 1.e-44]
[9.01303693e+07 5.56654840e-48]
[9.01303693e+07 5.56654840e-48]
[8.73406850e+07 3.82310558e-48]
[8.28821044e+07 3.36665696e-48]
[8.28821044e+07 3.36665696e-48]
[8.28821044e+07 3.36665696e-48]
[8.28821044e+07 3.36665696e-48]
[8.28821044e+07 3.36665696e-48]
[8.28821044e+07 3.36665696e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.74871011e+07 3.51488345e-48]
[8.94952980e+07 3.64369446e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.87203014e+07 3.53717452e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.77672472e+07 3.51362617e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.85220646e+07 3.56328190e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.79847953e+07 3.55508330e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
[8.58711341e+07 3.50705343e-48]
